alive_array,cells_alive,cells_dead,cells_dont_know,mitocohondria_distribution_array,mitocohondria_distribution_notsure,mitocohondria_grouped,mitocohondria_scattered,multinuclei,multinuclei_array,release_array,release_yes,remarks,task
"[[u'alive', 183, 72], [u'alive', 322, 105], [u'alive', 59, 83], [u'alive', 137, 349]]",4,0,0,"[[u'grouped', 179, 214], [u'grouped', 420, 218], [u'grouped', 399, 315], [u'grouped', 7, 270]]",4,0,0,0,[],"[[u'release', 324, 95], [u'release', 61, 59]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-3-41
"[[u'alive', 137, 124], [u'alive', 122, 12], [u'alive', 35, 109], [u'alive', 15, 181]]",4,0,0,"[[u'grouped', 150, 168], [u'grouped', 73, 196], [u'grouped', 73, 281], [u'grouped', 137, 347]]",4,0,0,0,[],"[[u'release', 120, 122], [u'release', 264, 207]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-34-35
"[[u'alive', 410, 367], [u'alive', 111, 116], [u'alive', 107, 9], [u'not_sure_alive', 263, 222], [u'not_sure_alive', 218, 12], [u'not_sure_alive', 422, 92], [u'not_sure_alive', 84, 184], [u'dead', 373, 283], [u'dead', 333, 274], [u'dead', 349, 359], [u'dead', 136, 334], [u'dead', 84, 290], [u'dead', 160, 165]]",3,6,4,"[[u'grouped', 141, 333], [u'grouped', 80, 284], [u'grouped', 86, 174], [u'grouped', 142, 160], [u'grouped', 258, 224], [u'grouped', 228, 11], [u'grouped', 419, 91], [u'grouped', 377, 262], [u'grouped', 335, 270], [u'scattered', 116, 120], [u'scattered', 13, 108], [u'not_sure_mitochondria', 345, 362], [u'not_sure_mitochondria', 415, 362]]",13,0,0,0,[],"[[u'release', 253, 220], [u'release', 424, 93]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-34-34
"[[u'alive', 281, 280], [u'alive', 321, 343], [u'alive', 180, 258]]",3,0,0,"[[u'grouped', 292, 295], [u'grouped', 79, 228], [u'grouped', 200, 379]]",3,0,0,0,[],"[[u'release', 268, 203], [u'release', 102, 236]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-39-12
"[[u'alive', 270, 189], [u'alive', 282, 288], [u'alive', 344, 149], [u'alive', 81, 230]]",4,0,0,"[[u'grouped', 349, 154], [u'grouped', 263, 175], [u'grouped', 341, 328], [u'grouped', 274, 292]]",4,0,0,0,[],"[[u'release', 282, 136], [u'release', 366, 148], [u'release', 190, 245]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-39-26
"[[u'alive', 91, 116], [u'alive', 283, 147], [u'alive', 284, 215], [u'alive', 307, 248], [u'alive', 379, 349]]",5,0,0,"[[u'grouped', 427, 315], [u'grouped', 168, 79], [u'grouped', 142, 208], [u'grouped', 322, 247], [u'grouped', 340, 288]]",5,0,0,0,[],"[[u'release', 422, 64], [u'release', 431, 159], [u'release', 259, 149], [u'release', 114, 21], [u'release', 74, 254]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-41-47
"[[u'alive', 138, 53], [u'alive', 504, 336]]",2,0,0,"[[u'grouped', 111, 49], [u'grouped', 484, 336]]",2,0,0,0,[],"[[u'release', 450, 142], [u'release', 478, 172]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-4-31
"[[u'alive', 91, 243], [u'alive', 338, 347], [u'alive', 79, 367], [u'alive', 0, 134], [u'alive', 478, 85]]",5,0,0,"[[u'grouped', 493, 86], [u'grouped', 73, 371], [u'grouped', 19, 131], [u'grouped', 441, 286], [u'grouped', 257, 330]]",5,0,0,0,[],"[[u'release', 113, 229], [u'release', 317, 326], [u'release', 485, 94], [u'release', 435, 304]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-43-7
"[[u'alive', 289, 315], [u'alive', 147, 324], [u'alive', 305, 218], [u'alive', 444, 300], [u'alive', 465, 359], [u'alive', 500, 185], [u'alive', 500, 79], [u'alive', 442, 11], [u'alive', 30, 207]]",9,0,0,"[[u'scattered', 28, 193], [u'scattered', 140, 314], [u'scattered', 279, 328], [u'scattered', 298, 232], [u'scattered', 460, 353], [u'scattered', 452, 321], [u'scattered', 517, 192], [u'scattered', 497, 89], [u'scattered', 447, 12]]",9,0,0,0,[],[],0,la célula de la izquierda es multinucleada,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-37-39
"[[u'alive', 293, 186], [u'alive', 304, 274], [u'alive', 99, 244], [u'alive', 359, 340]]",4,0,0,"[[u'grouped', 73, 245], [u'grouped', 355, 169], [u'grouped', 298, 267], [u'grouped', 383, 383]]",4,0,0,0,[],"[[u'release', 275, 205], [u'release', 175, 248]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-39-14
"[[u'alive', 247, 174], [u'alive', 253, 297], [u'alive', 323, 336]]",3,0,0,"[[u'grouped', 355, 149], [u'grouped', 256, 312], [u'scattered', 260, 189]]",3,0,0,0,[],"[[u'release', 359, 162], [u'release', 333, 340], [u'release', 285, 295]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-39-49
"[[u'alive', 303, 202], [u'alive', 232, 251], [u'alive', 339, 323], [u'alive', 476, 47]]",4,0,0,"[[u'grouped', 306, 179], [u'grouped', 20, 32], [u'grouped', 188, 2], [u'grouped', 188, 367]]",4,0,0,0,[],"[[u'release', 340, 308], [u'release', 232, 341], [u'release', 127, 310], [u'release', 193, 354]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-40-38
"[[u'alive', 263, 207], [u'alive', 133, 98], [u'alive', 414, 51]]",3,0,0,"[[u'grouped', 417, 69], [u'grouped', 263, 223], [u'grouped', 381, 345]]",3,0,0,0,[],"[[u'release', 117, 38], [u'release', 400, 117], [u'release', 390, 153]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-41-1
"[[u'alive', 421, 274], [u'alive', 469, 330], [u'alive', 357, 338], [u'alive', 89, 197]]",4,0,0,"[[u'grouped', 428, 288], [u'grouped', 507, 73], [u'grouped', 492, 337], [u'grouped', 327, 325]]",4,0,0,0,[],"[[u'release', 434, 280], [u'release', 487, 324]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-43-11
"[[u'alive', 452, 254], [u'alive', 432, 296], [u'alive', 295, 286]]",3,0,0,"[[u'grouped', 498, 318], [u'grouped', 449, 315], [u'grouped', 454, 250]]",3,0,0,0,[],"[[u'release', 333, 292], [u'release', 450, 251], [u'release', 429, 312]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-43-40
"[[u'alive', 353, 12], [u'alive', 424, 50], [u'alive', 370, 119], [u'alive', 312, 112], [u'alive', 395, 183]]",5,0,0,"[[u'grouped', 478, 128], [u'grouped', 60, 189], [u'grouped', 214, 160], [u'grouped', 460, 307], [u'scattered', 251, 308]]",5,0,0,0,[],"[[u'release', 327, 33], [u'release', 351, 70], [u'release', 428, 44], [u'release', 382, 124], [u'release', 408, 180]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-44-49
"[[u'alive', 464, 98], [u'alive', 203, 262], [u'alive', 98, 323], [u'alive', 391, 311]]",4,0,0,"[[u'grouped', 489, 281], [u'grouped', 379, 330], [u'grouped', 318, 362], [u'grouped', 393, 205]]",4,0,0,0,[],"[[u'release', 442, 109], [u'release', 426, 236], [u'release', 176, 277], [u'release', 109, 309]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-45-25
"[[u'alive', 226, 306], [u'alive', 246, 201], [u'alive', 435, 137], [u'alive', 398, 235], [u'alive', 376, 342]]",5,0,0,"[[u'grouped', 472, 269], [u'grouped', 305, 369], [u'grouped', 255, 213], [u'scattered', 403, 222], [u'scattered', 432, 136]]",5,0,0,0,[],"[[u'release', 438, 151], [u'release', 386, 242], [u'release', 256, 227], [u'release', 404, 322]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-45-49
"[[u'alive', 183, 17], [u'alive', 79, 100], [u'alive', 254, 165], [u'alive', 356, 305], [u'alive', 422, 297]]",5,0,0,"[[u'grouped', 269, 191], [u'grouped', 351, 308], [u'grouped', 509, 356], [u'grouped', 160, 35], [u'scattered', 182, 384]]",5,0,0,0,[],"[[u'release', 251, 159], [u'release', 353, 292], [u'release', 408, 292]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-46-12
"[[u'dead', 42, 131], [u'dead', 109, 150], [u'dead', 116, 59], [u'dead', 187, 37], [u'dead', 229, 34], [u'dead', 212, 109], [u'dead', 292, 165], [u'dead', 326, 76], [u'dead', 380, 211], [u'dead', 61, 349], [u'dead', 133, 289], [u'dead', 156, 368], [u'dead', 331, 331], [u'dead', 498, 341], [u'dead', 93, 223], [u'dead', 30, 298], [u'dead', 208, 236]]",0,17,0,"[[u'grouped', 40, 139], [u'grouped', 98, 140], [u'grouped', 112, 80], [u'grouped', 216, 171], [u'grouped', 290, 152], [u'grouped', 399, 200], [u'grouped', 485, 207], [u'grouped', 312, 344], [u'grouped', 197, 235], [u'grouped', 96, 219], [u'grouped', 116, 288], [u'grouped', 160, 344], [u'grouped', 78, 343], [u'grouped', 28, 287], [u'grouped', 501, 349], [u'grouped', 325, 74], [u'grouped', 380, 125]]",17,0,0,4,"[[u'multinuclei', 228, 35], [u'multinuclei', 226, 52], [u'multinuclei', 205, 93], [u'multinuclei', 190, 32]]","[[u'release', 205, 159], [u'release', 176, 220], [u'release', 46, 129], [u'release', 175, 45], [u'release', 392, 125], [u'release', 504, 342]]",6,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-50-20
"[[u'dead', 415, 355], [u'dead', 174, 351], [u'dead', 425, 238], [u'dead', 364, 216], [u'dead', 506, 308], [u'dead', 484, 45], [u'dead', 368, 61], [u'dead', 72, 173], [u'dead', 19, 63], [u'alive', 42, 359], [u'alive', 20, 219]]",2,9,0,"[[u'grouped', 83, 165], [u'grouped', 16, 75], [u'grouped', 369, 72], [u'grouped', 364, 215], [u'grouped', 424, 229], [u'grouped', 479, 61], [u'grouped', 428, 345], [u'grouped', 515, 316], [u'grouped', 195, 343], [u'grouped', 315, 259], [u'scattered', 18, 235]]",11,0,0,0,[],"[[u'release', 18, 230], [u'release', 17, 355], [u'release', 405, 200], [u'release', 299, 266], [u'release', 166, 355]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-51-15
"[[u'dead', 355, 80], [u'dead', 379, 69], [u'dead', 376, 186], [u'dead', 475, 76], [u'dead', 433, 223], [u'dead', 487, 313], [u'dead', 402, 359], [u'dead', 189, 350], [u'dead', 78, 154], [u'dead', 77, 380], [u'dead', 26, 32]]",0,11,0,"[[u'grouped', 354, 98], [u'grouped', 459, 69], [u'grouped', 426, 222], [u'grouped', 357, 180], [u'grouped', 316, 258], [u'grouped', 74, 156], [u'grouped', 13, 62], [u'grouped', 8, 211], [u'grouped', 208, 349], [u'grouped', 401, 364], [u'grouped', 469, 301]]",11,0,0,0,[],"[[u'release', 314, 255], [u'release', 193, 342], [u'release', 482, 305], [u'release', 380, 347], [u'release', 476, 69]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-51-31
"[[u'dead', 269, 356], [u'dead', 283, 53], [u'dead', 199, 318], [u'dead', 207, 289], [u'dead', 390, 153]]",0,5,0,"[[u'grouped', 203, 331], [u'grouped', 214, 312], [u'grouped', 264, 331], [u'grouped', 439, 378], [u'grouped', 403, 145]]",5,0,0,0,[],"[[u'release', 275, 348], [u'release', 187, 339], [u'release', 200, 289], [u'release', 404, 134]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-57-34
"[[u'alive', 36, 153], [u'alive', 19, 309], [u'alive', 89, 348], [u'alive', 217, 248], [u'alive', 280, 195]]",5,0,0,"[[u'grouped', 428, 351], [u'scattered', 317, 353], [u'scattered', 319, 262], [u'scattered', 283, 187], [u'scattered', 386, 137]]",5,0,0,1,"[[u'multinuclei', 292, 203]]","[[u'release', 33, 167], [u'release', 25, 323], [u'release', 89, 345], [u'release', 305, 198], [u'release', 186, 259]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-59-10
"[[u'alive', 144, 176], [u'alive', 353, 87], [u'alive', 261, 277], [u'alive', 285, 189], [u'alive', 195, 175]]",5,0,0,"[[u'grouped', 149, 166], [u'scattered', 250, 282], [u'scattered', 285, 196], [u'scattered', 200, 177], [u'scattered', 352, 77]]",5,0,0,0,[],"[[u'release', 259, 280], [u'release', 276, 208], [u'release', 428, 172], [u'release', 497, 235], [u'release', 195, 170]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-60-2
"[[u'alive', 164, 21], [u'alive', 268, 175], [u'alive', 386, 322], [u'alive', 432, 322], [u'alive', 506, 357]]",5,0,0,"[[u'grouped', 363, 314], [u'grouped', 265, 198], [u'grouped', 150, 43], [u'grouped', 430, 318], [u'grouped', 513, 351]]",5,0,0,0,[],"[[u'release', 267, 165], [u'release', 121, 104], [u'release', 177, 11], [u'release', 378, 336], [u'release', 503, 349]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-46-2
"[[u'alive', 243, 69], [u'alive', 156, 176], [u'alive', 303, 189], [u'alive', 146, 241], [u'alive', 155, 368]]",5,0,0,"[[u'grouped', 263, 311], [u'grouped', 476, 137], [u'grouped', 443, 42], [u'grouped', 132, 365], [u'grouped', 310, 212]]",5,0,0,0,[],"[[u'release', 239, 59], [u'release', 170, 163], [u'release', 152, 231], [u'release', 64, 267], [u'release', 145, 359]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-47-33
"[[u'alive', 400, 193], [u'alive', 415, 299], [u'alive', 485, 133], [u'alive', 237, 177]]",4,0,0,"[[u'grouped', 380, 67], [u'grouped', 20, 41], [u'grouped', 18, 374], [u'grouped', 243, 298]]",4,0,0,0,[],"[[u'release', 461, 131], [u'release', 133, 127], [u'release', 203, 167]]",3,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-48-24
"[[u'alive', 104, 49], [u'alive', 149, 11], [u'alive', 422, 187], [u'alive', 429, 285]]",4,0,0,"[[u'grouped', 375, 52], [u'grouped', 106, 33], [u'grouped', 184, 346], [u'grouped', 230, 290]]",4,0,0,2,"[[u'multinuclei', 174, 136], [u'multinuclei', 194, 156]]","[[u'release', 257, 292], [u'release', 438, 291], [u'release', 484, 83], [u'release', 482, 95]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-48-39
"[[u'alive', 435, 134], [u'alive', 369, 379]]",2,0,0,"[[u'grouped', 188, 213], [u'grouped', 221, 224]]",2,0,0,0,[],"[[u'release', 318, 192], [u'release', 277, 295]]",2,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-49-37
"[[u'dead', 82, 358], [u'dead', 166, 350], [u'dead', 110, 292], [u'dead', 42, 298], [u'dead', 84, 230], [u'dead', 59, 152], [u'dead', 107, 158], [u'dead', 192, 243], [u'dead', 203, 188], [u'dead', 126, 86], [u'dead', 205, 108], [u'dead', 204, 58], [u'dead', 211, 57], [u'dead', 229, 62], [u'dead', 307, 162], [u'dead', 399, 198], [u'dead', 382, 111], [u'dead', 325, 76], [u'dead', 441, 18], [u'dead', 406, 10], [u'dead', 467, 219], [u'dead', 316, 336], [u'dead', 513, 350]]",0,23,0,"[[u'grouped', 43, 136], [u'grouped', 28, 252], [u'grouped', 45, 303], [u'grouped', 108, 221], [u'grouped', 83, 323], [u'grouped', 129, 298], [u'grouped', 158, 356], [u'grouped', 200, 244], [u'grouped', 102, 168], [u'grouped', 116, 84], [u'grouped', 188, 41], [u'grouped', 210, 101], [u'grouped', 233, 40], [u'grouped', 239, 25], [u'grouped', 298, 171], [u'grouped', 217, 177], [u'grouped', 334, 60], [u'grouped', 389, 124], [u'grouped', 389, 202], [u'grouped', 469, 209], [u'grouped', 302, 344], [u'grouped', 502, 345], [u'grouped', 434, 25]]",23,0,0,0,[],"[[u'release', 291, 176], [u'release', 262, 313], [u'release', 207, 170], [u'release', 83, 128], [u'release', 136, 117], [u'release', 133, 75], [u'release', 174, 66], [u'release', 73, 39], [u'release', 242, 30], [u'release', 41, 272], [u'release', 78, 187], [u'release', 149, 311], [u'release', 490, 221], [u'release', 295, 193], [u'release', 340, 73], [u'release', 385, 97], [u'release', 449, 46], [u'release', 502, 32]]",18,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-50-46
"[[u'alive', 280, 332], [u'alive', 330, 146], [u'alive', 192, 55], [u'alive', 33, 334], [u'alive', 264, 157], [u'alive', 273, 41]]",6,0,0,"[[u'grouped', 317, 154], [u'grouped', 209, 40], [u'grouped', 293, 347], [u'grouped', 494, 365], [u'grouped', 45, 319], [u'grouped', 263, 112]]",6,0,0,0,[],"[[u'release', 321, 323], [u'release', 211, 40], [u'release', 23, 337], [u'release', 335, 152]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-53-5
"[[u'dead', 221, 297], [u'dead', 257, 239], [u'dead', 190, 177], [u'dead', 135, 172], [u'dead', 335, 104]]",0,5,0,"[[u'grouped', 142, 182], [u'grouped', 261, 316], [u'grouped', 292, 244], [u'grouped', 175, 156], [u'grouped', 373, 92]]",5,0,0,0,[],"[[u'release', 149, 182], [u'release', 171, 158], [u'release', 254, 299], [u'release', 276, 223], [u'release', 333, 96]]",5,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-60-48
"[[u'dead', 125, 290], [u'dead', 159, 348], [u'dead', 70, 355], [u'dead', 30, 285], [u'dead', 207, 238], [u'dead', 109, 229], [u'dead', 221, 173], [u'dead', 110, 159], [u'dead', 213, 97], [u'dead', 115, 72], [u'dead', 192, 40], [u'dead', 221, 40], [u'dead', 347, 69], [u'dead', 294, 177], [u'dead', 399, 194], [u'dead', 474, 213], [u'dead', 384, 116], [u'dead', 436, 16]]",0,18,0,"[[u'grouped', 47, 125], [u'grouped', 108, 147], [u'grouped', 102, 209], [u'grouped', 122, 272], [u'grouped', 29, 283], [u'grouped', 98, 353], [u'grouped', 147, 354], [u'grouped', 302, 338], [u'grouped', 195, 246], [u'grouped', 195, 186], [u'grouped', 293, 170], [u'grouped', 389, 190], [u'grouped', 454, 203], [u'grouped', 515, 346], [u'grouped', 383, 109], [u'grouped', 323, 52], [u'grouped', 206, 101], [u'grouped', 434, 16]]",18,0,0,0,[],"[[u'release', 345, 57], [u'release', 188, 155], [u'release', 240, 123], [u'release', 177, 105], [u'release', 129, 65], [u'release', 180, 37], [u'release', 230, 65], [u'release', 82, 118], [u'release', 125, 119], [u'release', 74, 206], [u'release', 38, 261], [u'release', 129, 299], [u'release', 298, 312], [u'release', 498, 329]]",14,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-50-30
"[[u'dead', 146, 347], [u'dead', 124, 305], [u'dead', 81, 345], [u'dead', 39, 296], [u'dead', 92, 227], [u'dead', 111, 153], [u'dead', 36, 147], [u'dead', 122, 60], [u'dead', 208, 107], [u'dead', 187, 37], [u'dead', 222, 187], [u'dead', 198, 241], [u'dead', 281, 167], [u'dead', 303, 317], [u'dead', 385, 197], [u'dead', 384, 128], [u'dead', 334, 70], [u'dead', 412, 5], [u'dead', 442, 21], [u'dead', 520, 6], [u'dead', 464, 212]]",0,21,0,"[[u'grouped', 38, 136], [u'grouped', 87, 146], [u'grouped', 85, 205], [u'grouped', 33, 289], [u'grouped', 92, 338], [u'grouped', 134, 294], [u'grouped', 148, 348], [u'grouped', 203, 229], [u'grouped', 218, 167], [u'grouped', 288, 156], [u'grouped', 289, 328], [u'grouped', 378, 208], [u'grouped', 467, 199], [u'grouped', 512, 241], [u'grouped', 516, 342], [u'grouped', 392, 138], [u'grouped', 329, 70], [u'grouped', 434, 17], [u'grouped', 398, 2], [u'grouped', 504, 6], [u'grouped', 194, 95]]",21,0,0,0,[],"[[u'release', 197, 150], [u'release', 174, 122], [u'release', 239, 120], [u'release', 158, 54], [u'release', 143, 75], [u'release', 82, 104], [u'release', 122, 117], [u'release', 77, 201], [u'release', 43, 276], [u'release', 122, 364], [u'release', 136, 311], [u'release', 272, 315], [u'release', 291, 146], [u'release', 338, 52], [u'release', 387, 106], [u'release', 442, 43], [u'release', 501, 24], [u'release', 486, 217], [u'release', 497, 343], [u'release', 477, 317]]",20,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-50-38
"[[u'dead', 97, 327], [u'dead', 36, 317], [u'dead', 22, 95], [u'dead', 253, 220], [u'dead', 220, 330], [u'dead', 347, 338], [u'dead', 268, 371], [u'dead', 348, 281], [u'dead', 365, 223], [u'dead', 491, 154], [u'dead', 176, 8]]",0,11,0,"[[u'grouped', 34, 105], [u'grouped', 36, 292], [u'grouped', 101, 336], [u'grouped', 246, 223], [u'grouped', 221, 335], [u'grouped', 266, 356], [u'grouped', 339, 340], [u'grouped', 354, 273], [u'grouped', 371, 227], [u'grouped', 506, 150], [u'grouped', 448, 387]]",11,0,0,0,[],"[[u'release', 236, 310], [u'release', 254, 201], [u'release', 354, 311], [u'release', 359, 187], [u'release', 509, 164], [u'release', 105, 316], [u'release', 44, 320], [u'release', 32, 108]]",8,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-52-29
"[[u'dead', 459, 351], [u'dead', 362, 327], [u'dead', 380, 313], [u'dead', 397, 275], [u'dead', 235, 227], [u'dead', 383, 80]]",0,6,0,"[[u'grouped', 258, 220], [u'grouped', 211, 40], [u'grouped', 64, 337], [u'grouped', 369, 323], [u'grouped', 428, 273], [u'grouped', 389, 117]]",6,0,0,0,[],"[[u'release', 374, 91], [u'release', 349, 313], [u'release', 409, 280], [u'release', 230, 215]]",4,,http://pybossa.socientize.eu/cellspotting/static/img/input/feb2013-54-20
